,area_type,location,size,total_sqft,bath,price,bhk,price_per_sqft
306,Super built-up  Area,9th Phase JP Nagar,2 BHK,1080.0,2.0,37.0,2,3425.925925925926
307,Built-up  Area,9th Phase JP Nagar,2 BHK,1035.0,2.0,45.0,2,4347.826086956522
308,Built-up  Area,9th Phase JP Nagar,4 BHK,5000.0,4.0,290.0,4,5800.0
309,Built-up  Area,9th Phase JP Nagar,2 BHK,1164.0,2.0,56.0,2,4810.996563573884
310,Super built-up  Area,9th Phase JP Nagar,2 BHK,1005.0,2.0,42.0,2,4179.104477611941
311,Super built-up  Area,9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,2,4436.557231588287
312,Super built-up  Area,9th Phase JP Nagar,2 BHK,1005.0,2.0,43.0,2,4278.606965174129
313,Built-up  Area,9th Phase JP Nagar,2 BHK,835.0,2.0,37.0,2,4431.137724550898
314,Super built-up  Area,9th Phase JP Nagar,2 BHK,1050.0,2.0,39.0,2,3714.285714285714
315,Super built-up  Area,9th Phase JP Nagar,2 BHK,660.0,2.0,27.0,2,4090.909090909091
316,Built-up  Area,9th Phase JP Nagar,1 BHK,600.0,1.0,20.0,1,3333.3333333333335
317,Super built-up  Area,9th Phase JP Nagar,2 BHK,1466.0,2.0,71.0,2,4843.110504774898
318,Built-up  Area,9th Phase JP Nagar,3 BHK,1890.0,2.0,93.0,3,4920.6349206349205
319,Super built-up  Area,9th Phase JP Nagar,2 BHK,1079.0,2.0,60.0,2,5560.704355885079
320,Super built-up  Area,9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2,5405.405405405405
321,Plot  Area,9th Phase JP Nagar,2 Bedroom,1200.0,2.0,80.0,2,6666.666666666667
322,Super built-up  Area,9th Phase JP Nagar,2 BHK,905.0,2.0,32.0,2,3535.9116022099447
323,Super built-up  Area,9th Phase JP Nagar,2 BHK,1073.0,2.0,52.36,2,4879.77632805219
324,Super built-up  Area,9th Phase JP Nagar,3 BHK,1719.3,2.0,88.0,3,5118.362124120282
325,Super built-up  Area,9th Phase JP Nagar,3 BHK,1780.0,3.0,88.0,3,4943.820224719101
327,Super built-up  Area,9th Phase JP Nagar,3 BHK,1522.0,3.0,90.0,3,5913.272010512484
330,Built-up  Area,9th Phase JP Nagar,2 BHK,890.0,2.0,45.0,2,5056.179775280899
332,Built-up  Area,9th Phase JP Nagar,4 BHK,5000.0,4.0,300.0,4,6000.0
334,Super built-up  Area,9th Phase JP Nagar,2 BHK,1050.0,2.0,35.0,2,3333.3333333333335
335,Super built-up  Area,9th Phase JP Nagar,2 BHK,1331.95,2.0,69.0,2,5180.374638687638
336,Super built-up  Area,A Narayanapura,1 BHK,600.0,2.0,35.0,1,5833.333333333333
337,Plot  Area,A Narayanapura,1 Bedroom,1500.0,2.0,85.0,1,5666.666666666667
338,Super built-up  Area,AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
339,Super built-up  Area,AECS Layout,2 BHK,1028.0,2.0,42.0,2,4085.603112840467
340,Super built-up  Area,AECS Layout,2 BHK,1199.0,2.0,65.0,2,5421.184320266889
341,Super built-up  Area,AECS Layout,2 BHK,1080.0,2.0,55.0,2,5092.592592592592
342,Super built-up  Area,AECS Layout,2 BHK,1123.0,2.0,64.0,2,5699.020480854853
343,Super built-up  Area,AECS Layout,2 BHK,1308.0,2.0,60.0,2,4587.155963302752
344,Super built-up  Area,AECS Layout,2 BHK,1005.0,2.0,55.0,2,5472.636815920398
346,Built-up  Area,AGS Layout,3 BHK,1450.0,2.0,85.0,3,5862.068965517241
347,Super built-up  Area,AGS Layout,2 BHK,1040.0,2.0,46.79,2,4499.038461538462
348,Plot  Area,AGS Layout,3 Bedroom,1936.0,3.0,110.0,3,5681.818181818182
349,Super built-up  Area,AGS Layout,2 BHK,1075.0,2.0,48.38,2,4500.46511627907
350,Built-up  Area,AMS Layout,3 BHK,1650.0,2.0,80.0,3,4848.484848484848
351,Plot  Area,AMS Layout,3 Bedroom,1200.0,4.0,80.0,3,6666.666666666667
352,Super built-up  Area,Abbaiah Reddy Layout,3 BHK,1310.0,2.0,50.0,3,3816.793893129771
353,Super built-up  Area,Abbaiah Reddy Layout,2 BHK,1100.0,2.0,38.45,2,3495.454545454546
354,Super built-up  Area,Abbaiah Reddy Layout,2 BHK,1100.0,2.0,38.49,2,3499.090909090909
355,Super built-up  Area,Abbaiah Reddy Layout,2 BHK,1190.0,2.0,41.0,2,3445.378151260504
356,Super built-up  Area,Abbaiah Reddy Layout,2 BHK,1100.0,2.0,38.5,2,3500.0
357,Super built-up  Area,Abbigere,2 BHK,985.0,2.0,40.39,2,4100.507614213198
358,Built-up  Area,Abbigere,6 Bedroom,2200.0,6.0,68.0,6,3090.909090909091
359,Super built-up  Area,Abbigere,1 BHK,765.0,2.0,30.0,1,3921.5686274509803
360,Super built-up  Area,Abbigere,2 BHK,880.0,2.0,35.0,2,3977.2727272727275
361,Super built-up  Area,Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
362,Super built-up  Area,Abbigere,2 BHK,1005.0,2.0,39.59,2,3939.303482587065
363,Super built-up  Area,Abbigere,1 BHK,734.0,1.0,19.82,1,2700.272479564033
365,Super built-up  Area,Abbigere,2 BHK,1020.0,2.0,41.82,2,4100.0
366,Super built-up  Area,Abbigere,2 BHK,985.0,2.0,40.39,2,4100.507614213198
367,Built-up  Area,Abbigere,6 Bedroom,2500.0,6.0,81.0,6,3240.0
368,Super built-up  Area,Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
369,Super built-up  Area,Abbigere,2 BHK,1130.0,2.0,46.33,2,4100.0
370,Super built-up  Area,Abbigere,2 BHK,795.0,1.0,32.6,2,4100.62893081761
371,Built-up  Area,Abbigere,8 Bedroom,3000.0,8.0,150.0,8,5000.0
372,Super built-up  Area,Abbigere,2 BHK,985.0,2.0,38.92,2,3951.269035532995
373,Super built-up  Area,Abbigere,2 BHK,1000.0,2.0,41.0,2,4100.0
374,Super built-up  Area,Abbigere,2 BHK,995.0,2.0,40.8,2,4100.5025125628135
375,Super built-up  Area,Abbigere,2 BHK,1020.0,2.0,40.8,2,3999.9999999999995
376,Built-up  Area,Agrahara Dasarahalli,1 BHK,800.0,1.0,72.0,1,9000.0
377,Plot  Area,Agrahara Dasarahalli,3 Bedroom,1350.0,1.0,120.0,3,8888.888888888889
378,Super built-up  Area,Aishwarya Crystal Layout,3 BHK,2250.0,3.0,113.0,3,5022.222222222223
379,Built-up  Area,Aishwarya Crystal Layout,2 BHK,1053.0,2.0,51.0,2,4843.304843304843
380,Super built-up  Area,Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106.628242074928
381,Super built-up  Area,Akshaya Nagar,2 BHK,1070.0,2.0,54.0,2,5046.728971962617
382,Built-up  Area,Akshaya Nagar,2 BHK,1280.0,2.0,58.0,2,4531.25
383,Built-up  Area,Akshaya Nagar,3 BHK,1662.0,3.0,85.1,3,5120.336943441636
384,Super built-up  Area,Akshaya Nagar,3 BHK,1897.0,3.0,120.0,3,6325.77754348972
385,Super built-up  Area,Akshaya Nagar,3 BHK,1410.0,2.0,75.0,3,5319.148936170212
386,Super built-up  Area,Akshaya Nagar,3 BHK,1360.0,2.0,85.0,3,6250.0
388,Super built-up  Area,Akshaya Nagar,3 BHK,1410.0,2.0,80.0,3,5673.758865248227
389,Built-up  Area,Akshaya Nagar,3 BHK,1662.0,3.0,85.0,3,5114.320096269555
390,Built-up  Area,Akshaya Nagar,3 BHK,1662.0,3.0,85.5,3,5144.404332129964
391,Built-up  Area,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687.5
392,Built-up  Area,Akshaya Nagar,3 BHK,1666.0,3.0,95.0,3,5702.280912364946
393,Super built-up  Area,Akshaya Nagar,3 BHK,1575.0,3.0,90.0,3,5714.285714285715
394,Super built-up  Area,Akshaya Nagar,3 BHK,1430.0,2.0,75.0,3,5244.755244755244
395,Built-up  Area,Akshaya Nagar,3 BHK,1419.0,2.0,73.0,3,5144.46793516561
396,Super built-up  Area,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687.5
397,Super built-up  Area,Akshaya Nagar,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
398,Super built-up  Area,Akshaya Nagar,2 BHK,1092.0,2.0,60.0,2,5494.505494505494
399,Super built-up  Area,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
401,Super built-up  Area,Akshaya Nagar,3 BHK,1897.0,4.0,93.0,3,4902.477596204533
402,Super built-up  Area,Akshaya Nagar,3 BHK,1884.0,3.0,98.0,3,5201.698513800425
403,Super built-up  Area,Akshaya Nagar,2 BHK,1314.0,2.0,68.8,2,5235.920852359209
404,Super built-up  Area,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
405,Super built-up  Area,Akshaya Nagar,2 BHK,1265.0,2.0,67.0,2,5296.442687747036
406,Super built-up  Area,Akshaya Nagar,2 BHK,1126.0,2.0,55.0,2,4884.547069271758
408,Super built-up  Area,Akshaya Nagar,3 BHK,1662.0,3.0,90.0,3,5415.162454873646
409,Super built-up  Area,Akshaya Nagar,3 BHK,1420.0,2.0,75.0,3,5281.69014084507
410,Super built-up  Area,Akshaya Nagar,3 BHK,1412.0,2.0,88.0,3,6232.294617563739
411,Built-up  Area,Akshaya Nagar,3 BHK,1434.0,3.0,84.0,3,5857.740585774059
412,Super built-up  Area,Akshaya Nagar,3 BHK,1890.0,4.0,100.0,3,5291.005291005291
414,Super built-up  Area,Akshaya Nagar,3 BHK,1419.0,2.0,87.0,3,6131.0782241014795
415,Super built-up  Area,Akshaya Nagar,2 BHK,1300.0,2.0,54.0,2,4153.846153846154
416,Super built-up  Area,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
417,Super built-up  Area,Akshaya Nagar,2 BHK,1113.0,2.0,52.0,2,4672.057502246182
418,Super built-up  Area,Akshaya Nagar,3 BHK,1820.0,4.0,95.0,3,5219.780219780219
419,Super built-up  Area,Akshaya Nagar,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
420,Super built-up  Area,Akshaya Nagar,3 BHK,1896.0,3.0,102.0,3,5379.7468354430375
421,Super built-up  Area,Akshaya Nagar,2 BHK,1300.0,2.0,66.0,2,5076.923076923077
422,Super built-up  Area,Akshaya Nagar,2 BHK,1225.0,2.0,68.0,2,5551.0204081632655
423,Super built-up  Area,Akshaya Nagar,2 BHK,1179.0,2.0,51.0,2,4325.699745547074
424,Super built-up  Area,Akshaya Nagar,3 BHK,1421.0,2.0,73.0,3,5137.227304714989
425,Super built-up  Area,Akshaya Nagar,3 BHK,1893.0,4.0,95.0,3,5018.489170628632
426,Built-up  Area,Akshaya Nagar,2 BHK,900.0,2.0,45.0,2,5000.0
427,Built-up  Area,Akshaya Vana,4 Bedroom,4000.0,4.0,170.0,4,4250.0
428,Super built-up  Area,Akshaya Vana,3 BHK,1300.0,2.0,49.0,3,3769.230769230769
429,Super built-up  Area,Akshaya Vana,3 BHK,1280.0,2.0,49.0,3,3828.125
430,Super built-up  Area,Akshaya Vana,2 BHK,1141.0,2.0,55.0,2,4820.333041191937
431,Super built-up  Area,Akshaya Vana,3 BHK,1260.0,2.0,49.0,3,3888.8888888888887
432,Super built-up  Area,Akshaya Vana,2 BHK,1427.0,2.0,52.0,2,3644.008409250175
433,Super built-up  Area,Akshayanagara East,3 BHK,1693.0,3.0,108.0,3,6379.208505611341
434,Super built-up  Area,Akshayanagara East,2 BHK,1210.0,2.0,76.0,2,6280.99173553719
435,Super built-up  Area,Akshayanagara East,3 BHK,1519.0,3.0,67.23,3,4425.938117182357
436,Super built-up  Area,Akshayanagara East,3 BHK,1595.0,3.0,70.39,3,4413.166144200627
437,Super built-up  Area,Akshayanagara East,2 BHK,1230.0,2.0,50.0,2,4065.040650406504
438,Super built-up  Area,Akshayanagara East,1 BHK,595.0,1.0,40.0,1,6722.689075630252
439,Super built-up  Area,Akshayanagara East,2 BHK,1145.0,2.0,44.0,2,3842.7947598253277
440,Built-up  Area,Akshya Nagar,6 Bedroom,2400.0,6.0,130.0,6,5416.666666666667
441,Super built-up  Area,Akshya Nagar,2 BHK,1380.0,2.0,75.0,2,5434.782608695652
442,Super built-up  Area,Akshya Nagar,3 BHK,1320.0,2.0,58.0,3,4393.939393939394
443,Super built-up  Area,Alfa Garden Layout,2 BHK,1240.0,2.0,43.79,2,3531.451612903226
444,Super built-up  Area,Alfa Garden Layout,2 BHK,1050.0,2.0,38.0,2,3619.0476190476193
445,Super built-up  Area,Alfa Garden Layout,2 BHK,1190.0,2.0,46.41,2,3900.0
446,Built-up  Area,Alur,1 BHK,530.0,1.0,20.0,1,3773.5849056603774
447,Super built-up  Area,Alur,1 BHK,425.0,1.0,15.0,1,3529.4117647058824
448,Super built-up  Area,Amarjyothi Colony,3 BHK,1355.0,3.0,61.0,3,4501.845018450184
449,Super built-up  Area,Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787.330316742082
450,Super built-up  Area,Ambalipura,3 BHK,1800.0,3.0,110.0,3,6111.111111111111
451,Built-up  Area,Ambalipura,2 BHK,1150.0,2.0,80.0,2,6956.521739130435
452,Super built-up  Area,Ambalipura,2 BHK,1250.0,2.0,66.25,2,5300.0
453,Super built-up  Area,Ambalipura,2 BHK,1332.0,2.0,79.0,2,5930.930930930931
454,Super built-up  Area,Ambalipura,3 BHK,1730.0,3.0,120.0,3,6936.416184971098
456,Super built-up  Area,Ambalipura,2 BHK,1230.0,2.0,66.25,2,5386.178861788618
457,Super built-up  Area,Ambalipura,2 BHK,1351.0,2.0,77.0,2,5699.481865284974
461,Super built-up  Area,Ambalipura,2 BHK,1303.0,2.0,80.0,2,6139.677666922486
462,Super built-up  Area,Ambalipura,3 BHK,1607.0,2.0,112.0,3,6969.508400746733
463,Super built-up  Area,Ambalipura,1 BHK,770.0,1.0,43.82,1,5690.909090909091
464,Super built-up  Area,Ambalipura,2 BHK,1700.0,2.0,76.0,2,4470.588235294118
465,Super built-up  Area,Ambalipura,2 BHK,1060.0,2.0,58.5,2,5518.867924528302
466,Built-up  Area,Ambalipura,3 BHK,1650.0,3.0,100.0,3,6060.606060606061
467,Super built-up  Area,Ambalipura,3 BHK,1607.0,2.0,112.0,3,6969.508400746733
468,Super built-up  Area,Ambalipura,2 BHK,1198.0,2.0,80.0,2,6677.79632721202
469,Super built-up  Area,Ambedkar Colony,2 BHK,1468.0,2.0,140.0,2,9536.784741144415
470,Built-up  Area,Ambedkar Colony,2 BHK,1463.0,1.0,142.0,2,9706.083390293916
471,Super built-up  Area,Ambedkar Colony,3 BHK,1910.0,3.0,190.0,3,9947.643979057591
472,Super built-up  Area,Ambedkar Colony,2 BHK,1464.0,2.0,145.0,2,9904.371584699453
473,Super built-up  Area,Ambedkar Nagar,3 BHK,1935.0,4.0,130.0,3,6718.3462532299745
474,Super built-up  Area,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320.224719101124
475,Super built-up  Area,Ambedkar Nagar,3 BHK,2225.0,4.0,169.0,3,7595.505617977528
476,Super built-up  Area,Ambedkar Nagar,3 BHK,1862.0,3.0,120.0,3,6444.68313641246
477,Super built-up  Area,Ambedkar Nagar,3 BHK,1850.0,4.0,139.0,3,7513.513513513513
478,Super built-up  Area,Ambedkar Nagar,3 BHK,1936.0,4.0,126.0,3,6508.264462809917
479,Super built-up  Area,Ambedkar Nagar,3 BHK,1862.0,3.0,119.0,3,6390.977443609023
480,Super built-up  Area,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320.224719101124
481,Super built-up  Area,Ambedkar Nagar,3 BHK,2150.0,4.0,125.0,3,5813.953488372093
482,Built-up  Area,Ambedkar Nagar,4 BHK,3530.0,4.0,290.0,4,8215.297450424929
483,Super built-up  Area,Ambedkar Nagar,3 BHK,1856.0,3.0,120.0,3,6465.517241379311
484,Super built-up  Area,Ambedkar Nagar,3 BHK,1852.0,3.0,130.0,3,7019.438444924406
485,Super built-up  Area,Ambedkar Nagar,3 BHK,1850.0,4.0,120.0,3,6486.486486486487
486,Super built-up  Area,Ambedkar Nagar,2 BHK,1367.0,2.0,86.0,2,6291.148500365764
487,Plot  Area,Ambedkar Nagar,4 Bedroom,3565.0,4.0,255.0,4,7152.875175315568
488,Super built-up  Area,Ambedkar Nagar,2 BHK,1409.0,2.0,95.0,2,6742.370475514549
489,Super built-up  Area,Ambedkar Nagar,3 BHK,1950.0,4.0,120.0,3,6153.846153846154
490,Super built-up  Area,Ambedkar Nagar,3 BHK,1921.0,4.0,129.0,3,6715.252472670484
491,Super built-up  Area,Ambedkar Nagar,3 BHK,1920.0,4.0,121.0,3,6302.083333333333
492,Super built-up  Area,Ambedkar Nagar,3 BHK,1935.0,4.0,125.0,3,6459.948320413437
493,Super built-up  Area,Ambedkar Nagar,3 BHK,1852.0,4.0,122.0,3,6587.473002159827
494,Super built-up  Area,Ambedkar Nagar,3 BHK,1950.0,4.0,120.0,3,6153.846153846154
495,Super built-up  Area,Ambedkar Nagar,3 BHK,1852.0,3.0,125.0,3,6749.460043196545
496,Super built-up  Area,Ambedkar Nagar,3 BHK,1850.0,4.0,121.0,3,6540.540540540541
497,Super built-up  Area,Ambedkar Nagar,2 BHK,1425.0,2.0,94.0,2,6596.491228070176
498,Built-up  Area,Ambedkar Nagar,3 BHK,2395.0,4.0,150.0,3,6263.048016701461
499,Super built-up  Area,Amblipura,3 BHK,1605.0,3.0,100.0,3,6230.529595015576
500,Built-up  Area,Amblipura,3 BHK,1300.0,2.0,80.0,3,6153.846153846154
501,Super built-up  Area,Amblipura,2 BHK,1175.0,2.0,83.0,2,7063.829787234043
502,Super built-up  Area,Amruthahalli,2 BHK,900.0,2.0,40.0,2,4444.444444444444
503,Super built-up  Area,Amruthahalli,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
504,Built-up  Area,Amruthahalli,3 Bedroom,1900.0,3.0,135.0,3,7105.263157894737
505,Built-up  Area,Amruthahalli,2 BHK,924.0,2.0,45.0,2,4870.12987012987
506,Carpet  Area,Amruthahalli,2 BHK,900.0,2.0,60.0,2,6666.666666666667
507,Built-up  Area,Amruthahalli,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
508,Super built-up  Area,Amruthahalli,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
512,Super built-up  Area,Amruthahalli,3 BHK,1450.0,2.0,85.0,3,5862.068965517241
513,Super built-up  Area,Amruthahalli,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
514,Super built-up  Area,Amruthahalli,2 BHK,1250.0,2.0,79.0,2,6320.0
515,Super built-up  Area,Amruthahalli,2 BHK,1190.0,2.0,50.0,2,4201.680672268908
516,Super built-up  Area,Amruthahalli,2 BHK,1202.0,2.0,65.0,2,5407.65391014975
517,Super built-up  Area,Amruthahalli,2 BHK,1340.0,2.0,75.0,2,5597.014925373134
518,Super built-up  Area,Amruthahalli,3 BHK,2650.0,4.0,175.0,3,6603.773584905661
519,Built-up  Area,Amruthahalli,3 BHK,1450.0,2.0,90.0,3,6206.896551724138
520,Super built-up  Area,Amruthahalli,2 BHK,1025.0,2.0,42.0,2,4097.5609756097565
521,Built-up  Area,Amruthahalli,1 BHK,485.0,1.0,19.5,1,4020.618556701031
522,Built-up  Area,Amruthnagar,2 BHK,1350.0,2.0,67.5,2,5000.0
523,Built-up  Area,Amruthnagar,2 BHK,1365.0,3.0,60.0,2,4395.604395604396
524,Super built-up  Area,Amruthnagar,2 BHK,1000.0,2.0,51.0,2,5100.0
525,Built-up  Area,Anand Nagar,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
526,Built-up  Area,Anand Nagar,2 BHK,1135.0,2.0,55.0,2,4845.814977973569
527,Plot  Area,Anand Nagar,3 Bedroom,3515.0,3.0,420.0,3,11948.790896159317
528,Super built-up  Area,Anand Nagar,3 BHK,1080.0,2.0,75.0,3,6944.444444444444
529,Plot  Area,Anand nagar,2 Bedroom,1200.0,2.0,70.0,2,5833.333333333333
530,Super built-up  Area,Anand nagar,3 BHK,2010.0,3.0,125.0,3,6218.905472636816
531,Super built-up  Area,Anandapura,2 BHK,1167.0,2.0,43.76,2,3749.7857754927163
532,Plot  Area,Anandapura,2 Bedroom,1000.0,2.0,55.0,2,5500.0
533,Super built-up  Area,Anandapura,2 BHK,1141.0,2.0,42.79,2,3750.219106047327
535,Plot  Area,Anandapura,2 Bedroom,1200.0,2.0,67.0,2,5583.333333333333
536,Plot  Area,Anandapura,2 Bedroom,1200.0,2.0,58.0,2,4833.333333333333
537,Super built-up  Area,Anandapura,2 BHK,1151.0,2.0,43.1,2,3744.5699391833186
538,Super built-up  Area,Anandapura,2 BHK,1141.0,2.0,42.75,2,3746.7134092900965
539,Plot  Area,Anandapura,2 Bedroom,900.0,2.0,48.0,2,5333.333333333333
540,Plot  Area,Anandapura,4 Bedroom,1749.0,4.0,90.0,4,5145.797598627787
541,Super built-up  Area,Anandapura,2 BHK,1151.0,2.0,42.9,2,3727.193744569939
543,Built-up  Area,Anandapura,2 BHK,1250.0,2.0,45.0,2,3600.0
544,Super built-up  Area,Anandapura,2 BHK,1151.0,2.0,43.16,2,3749.7827975673326
545,Built-up  Area,Anandapura,2 Bedroom,1200.0,2.0,58.0,2,4833.333333333333
546,Plot  Area,Anandapura,3 Bedroom,1200.0,2.0,66.0,3,5500.0
547,Plot  Area,Anandapura,3 Bedroom,1415.0,2.0,74.0,3,5229.681978798587
548,Super built-up  Area,Anandapura,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
549,Super built-up  Area,Anandapura,2 BHK,1141.0,2.0,50.0,2,4382.120946538124
551,Super built-up  Area,Anantapura,2 BHK,1200.0,2.0,37.0,2,3083.3333333333335
552,Carpet  Area,Anantapura,3 BHK,1600.0,3.0,77.0,3,4812.5
553,Super built-up  Area,Ananth Nagar,1 BHK,500.0,1.0,14.0,1,2800.0
554,Super built-up  Area,Ananth Nagar,2 BHK,1100.0,2.0,31.5,2,2863.6363636363635
555,Super built-up  Area,Ananth Nagar,2 BHK,982.0,2.0,24.55,2,2500.0
556,Super built-up  Area,Ananth Nagar,1 BHK,500.0,2.0,14.0,1,2800.0
557,Super built-up  Area,Ananth Nagar,2 BHK,900.0,2.0,22.5,2,2500.0
558,Super built-up  Area,Ananth Nagar,2 BHK,908.0,2.0,26.0,2,2863.4361233480176
559,Super built-up  Area,Ananth Nagar,2 BHK,870.0,2.0,36.0,2,4137.931034482759
560,Super built-up  Area,Ananth Nagar,2 BHK,937.0,2.0,35.0,2,3735.325506937033
561,Built-up  Area,Ananth Nagar,2 BHK,960.0,2.0,37.0,2,3854.1666666666665
562,Super built-up  Area,Ananth Nagar,1 BHK,500.0,1.0,14.0,1,2800.0
563,Super built-up  Area,Ananth Nagar,2 BHK,1000.0,2.0,29.7,2,2970.0
564,Built-up  Area,Ananth Nagar,2 BHK,850.0,2.0,25.99,2,3057.6470588235293
565,Super built-up  Area,Ananth Nagar,2 BHK,902.0,2.0,25.26,2,2800.4434589800444
566,Built-up  Area,Ananth Nagar,3 BHK,1470.0,3.0,54.0,3,3673.469387755102
567,Built-up  Area,Ananth Nagar,2 BHK,810.0,2.0,25.5,2,3148.1481481481483
568,Super built-up  Area,Ananth Nagar,2 BHK,890.0,2.0,27.0,2,3033.7078651685392
569,Super built-up  Area,Ananth Nagar,2 BHK,1200.0,2.0,36.0,2,3000.0
571,Super built-up  Area,Ananth Nagar,3 BHK,1319.0,3.0,42.0,3,3184.230477634572
572,Super built-up  Area,Ananth Nagar,2 BHK,1000.0,2.0,25.0,2,2500.0
573,Super built-up  Area,Ananth Nagar,2 BHK,902.0,2.0,25.0,2,2771.6186252771618
574,Super built-up  Area,Ananth Nagar,2 BHK,930.0,2.0,25.99,2,2794.6236559139784
575,Super built-up  Area,Ananth Nagar,2 BHK,1074.0,2.0,26.85,2,2500.0
576,Super built-up  Area,Ananth Nagar,1 BHK,500.0,1.0,14.0,1,2800.0
577,Super built-up  Area,Ananth Nagar,2 BHK,1010.0,2.0,38.0,2,3762.3762376237623
578,Super built-up  Area,Ananth Nagar,2 BHK,992.0,2.0,24.8,2,2500.0
579,Plot  Area,Andrahalli,4 Bedroom,1200.0,4.0,135.0,4,11250.0
581,Super built-up  Area,Anekal,2 BHK,656.0,2.0,22.0,2,3353.6585365853657
582,Super built-up  Area,Anekal,2 BHK,620.0,2.0,22.0,2,3548.3870967741937
583,Super built-up  Area,Anekal,1 BHK,600.0,1.0,16.5,1,2750.0
584,Super built-up  Area,Anekal,2 BHK,925.0,2.0,40.0,2,4324.324324324324
585,Super built-up  Area,Anekal,1 BHK,530.0,1.0,18.0,1,3396.2264150943397
586,Plot  Area,Anekal,3 Bedroom,1800.0,3.0,68.0,3,3777.777777777778
588,Built-up  Area,Anekal,1 RK,351.0,1.0,16.0,1,4558.404558404558
589,Super built-up  Area,Anekal,2 BHK,1035.0,2.0,38.3,2,3700.483091787439
590,Super built-up  Area,Anekal,2 BHK,888.0,2.0,34.0,2,3828.828828828829
594,Plot  Area,Anekal,4 Bedroom,1200.0,2.0,36.0,4,3000.0
595,Super built-up  Area,Anekal,2 BHK,766.0,2.0,28.0,2,3655.3524804177546
596,Built-up  Area,Anekal,3 BHK,967.0,2.0,45.0,3,4653.567735263702
597,Built-up  Area,Anekal,2 BHK,620.0,1.0,23.5,2,3790.3225806451615
598,Super built-up  Area,Anekal,3 BHK,1150.0,3.0,45.0,3,3913.0434782608695
601,Built-up  Area,Anekal,1 BHK,400.0,1.0,11.5,1,2875.0
602,Super built-up  Area,Anekal,1 BHK,456.0,1.0,15.0,1,3289.4736842105262
605,Plot  Area,Anekal,3 Bedroom,2400.0,4.0,95.0,3,3958.3333333333335
609,Built-up  Area,Anekal,1 BHK,420.0,1.0,12.5,1,2976.190476190476
610,Super built-up  Area,Anekal,2 BHK,614.0,1.0,28.0,2,4560.260586319218
611,Super built-up  Area,Anekal,2 BHK,1140.0,2.0,52.0,2,4561.403508771929
612,Super built-up  Area,Anekal,2 BHK,625.0,1.0,25.0,2,4000.0
613,Built-up  Area,Anjanapura,4 BHK,1850.0,4.0,86.0,4,4648.648648648648
614,Super built-up  Area,Anjanapura,2 BHK,1070.0,2.0,39.0,2,3644.8598130841124
615,Plot  Area,Anjanapura,3 Bedroom,1500.0,3.0,121.0,3,8066.666666666667
616,Super built-up  Area,Anjanapura,2 BHK,1070.0,2.0,37.0,2,3457.9439252336447
617,Super built-up  Area,Anjanapura,2 BHK,950.0,2.0,40.0,2,4210.526315789473
618,Built-up  Area,Anjanapura,3 BHK,1280.0,2.0,45.0,3,3515.625
619,Super built-up  Area,Anjanapura,2 BHK,710.0,2.0,25.0,2,3521.1267605633802
621,Built-up  Area,Anjanapura,2 BHK,950.0,2.0,32.0,2,3368.4210526315787
622,Super built-up  Area,Anjanapura,4 BHK,1800.0,4.0,55.0,4,3055.5555555555557
623,Super built-up  Area,Anjanapura,3 BHK,1843.0,3.0,87.54,3,4749.864351600651
624,Super built-up  Area,Anjanapura,2 BHK,1076.0,2.0,30.13,2,2800.185873605948
625,Built-up  Area,Anjanapura,2 BHK,950.0,2.0,30.0,2,3157.8947368421054
626,Plot  Area,Anjappa Layout,2 Bedroom,1348.0,2.0,100.0,2,7418.39762611276
627,Super built-up  Area,Ankappa Layout,2 BHK,1105.0,2.0,50.0,2,4524.886877828054
628,Plot  Area,Annaiah Reddy Layout,1 Bedroom,540.0,1.0,22.0,1,4074.074074074074
